target_ip,ttl,protocol,router_ip,hostname,rtt_ms,reached_destination
8.8.8.8,1,udp,*,*,,False
8.8.8.8,1,tcp,*,*,,False
8.8.8.8,1,icmp,*,*,,False
8.8.8.8,2,udp,*,*,,False
8.8.8.8,2,tcp,*,*,,False
8.8.8.8,2,icmp,*,*,,False
8.8.8.8,3,udp,*,*,,False
8.8.8.8,3,tcp,*,*,,False
8.8.8.8,3,icmp,*,*,,False
8.8.8.8,4,udp,*,*,,False
8.8.8.8,4,tcp,*,*,,False
8.8.8.8,4,icmp,*,*,,False
8.8.8.8,5,udp,*,*,,False
8.8.8.8,5,tcp,*,*,,False
8.8.8.8,5,icmp,*,*,,False
8.8.8.8,6,udp,*,*,,False
8.8.8.8,6,tcp,*,*,,False
8.8.8.8,6,icmp,*,*,,False
8.8.8.8,7,udp,*,*,,False
8.8.8.8,7,tcp,*,*,,False
8.8.8.8,7,icmp,*,*,,False
8.8.8.8,8,udp,*,*,,False
8.8.8.8,8,tcp,*,*,,False
8.8.8.8,8,icmp,*,*,,False
8.8.8.8,9,udp,*,*,,False
8.8.8.8,9,tcp,*,*,,False
8.8.8.8,9,icmp,*,*,,False
8.8.8.8,10,udp,*,*,,False
8.8.8.8,10,tcp,*,*,,False
8.8.8.8,10,icmp,*,*,,False
